"","treatment_class","variable","N","value","sd","se","ci"
"399","WT_1.5","Thr.L1",19,0.207045631578947,0.219735091298391,0.0504106872273353,0.105908923859606
"400","WT_1.5","Thr.L3",19,1.00845615789474,0.379554394011256,0.0870757498458885,0.182939362021742
"401","WT_1.5","Thr.T",19,25.018,16.8818005358828,3.872950658996,8.13676740025075
"402","WT_1.5","Thr.T1",19,53.3463936842105,64.7278340140064,14.8495835421752,31.1978173521564
"403","WT_1.5","Thr.T3",19,271.1724,80.4833134187592,18.4641384122991,38.7917153444603
"404","WT_Ia","Dyn.DI",11,120.228455588182,42.871126582451,12.9261310194383,28.8012147302754
"405","WT_Ia","Dyn.F",11,185.547416272727,85.9199738201761,25.9058468326075,57.7218238213384
"406","WT_Ia","Dyn.IB",11,282.630171790909,47.5113966754485,14.325225094382,31.9185905962412
"407","WT_Ia","Dyn.IFRdrop",11,86.4123742727273,34.4364042621766,10.3829665515123,23.1346911722985
"408","WT_Ia","Dyn.pfr",11,203.160406227273,52.3622856249721,15.7878231439502,35.1774621353236
"409","WT_Ia","Dyn.pfr1",11,150.516990090909,39.3681917624981,11.869956431906,26.4479110973142
"410","WT_Ia","Dyn.pfr3",11,137.505837727273,53.5799395639747,16.1549596203293,35.9954931823252
"411","WT_Ia","Dyn.RDR",11,24.6363636363636,8.73238486637788,2.63291310243211,5.8664959774327
"412","WT_Ia","Dyn.slp",11,929.938609754545,454.994145454288,137.185896570933,305.669226094266
"413","WT_Ia","Dyn.slp1",11,124.505755090909,62.9448704728904,18.9785925305543,42.2869393733446
"414","WT_Ia","Dyn.slp3",11,206.580844636364,104.42508612254,31.4853481244557,70.153727424413
"415","WT_Ia","Dyn.spkNum",11,18.7651515154545,4.68134865729164,1.41147972809731,3.14497282096464
"416","WT_Ia","Dyn.spkNum1",11,72.7272727272727,25.7102738573159,7.75193924018184,17.2723969992861
"417","WT_Ia","Dyn.spkNum3",11,48.0909090909091,18.0745929163262,5.44969481289723,12.1426767440844
"418","WT_Ia","Stat.afr",11,93.9827009090909,22.0246228714987,6.64067365580372,14.796342975858
"419","WT_Ia","Stat.HzEnd",11,73.4725994472727,21.4617005680118,6.47094619518658,14.418166626608
"420","WT_Ia","Stat.HzSTD",11,29.8482895609091,10.4488514753323,3.1504472576208,7.01963393583851
"421","WT_Ia","Stat.LSpkF",11,122.502500836364,37.4858382575973,11.3024054956727,25.1833288058116
"422","WT_Ia","Stat.LSpkT",11,991.437363636364,20.8204157464385,6.27759154637672,13.9873456213826
"423","WT_Ia","Stat.mSfr",11,82.9287034618182,20.8296044619849,6.28036204835605,13.9935186844822
"424","WT_Ia","Stat.slp",11,-59.4236115,26.0994705624483,7.86928646205156,17.5338629035067
"425","WT_Ia","Stat.spkNum",11,85.6363636363636,21.7911575060745,6.57028119956234,14.6394988092198
"426","WT_Ia","Thr.F",11,9.85744434818182,3.54147796354975,1.0677957825824,2.37919726915894
"427","WT_Ia","Thr.F1",11,7.14284963636364,5.97140543695933,1.80044648231658,4.01164475817158
"428","WT_Ia","Thr.F3",11,19.4422913636364,10.9392668709966,3.29831306296918,7.34909948161549
"429","WT_Ia","Thr.L",11,0.0901657954545454,0.0372199263301626,0.0112222300328926,0.0250046867422152
"430","WT_Ia","Thr.L1",11,0.147033181818182,0.246684547415446,0.0743781895777883,0.165724933938671
"431","WT_Ia","Thr.L3",11,0.839395545454545,0.406308300743995,0.122506562070428,0.272961630572389
"432","WT_Ia","Thr.T",11,6.18357575727273,4.50257611191869,1.35757777756832,3.02487179079316
"433","WT_Ia","Thr.T1",11,29.8854545454545,40.0071514516183,12.0626100269037,26.8771700573033
